,0
0,ushuaia
1,barentsburg
2,nizwa
3,itupiranga
4,guarapari
5,upernavik
6,port alfred
7,qaanaaq
8,pangody
9,dikson
10,cidreira
11,illoqqortoormiut
12,prado
13,belushya guba
14,klaksvik
15,carnarvon
16,trairi
17,victoria
18,georgetown
19,east london
20,taolanaro
21,russkiy aktash
22,narsaq
23,port elizabeth
24,jamsa
25,yar-sale
26,hermanus
27,santa rosa
28,mayor pablo lagerenza
29,albany
30,busselton
31,amderma
32,bredasdorp
33,segou
34,halifax
35,teguldet
36,bambous virieux
37,pangnirtung
38,nanortalik
39,kreminna
40,maragogi
41,longyearbyen
42,meulaboh
43,salym
44,shache
45,lagoa
46,atar
47,chalmette
48,iqaluit
49,mahebourg
